year,province_code,batch_code,subject_track,college_code,group_code,major_code,major_name,subject_requirement,plan_count,tuition,duration,campus,note,source_id
2024,AH,ordinary_undergraduate,history,1001,001,01,英语,不限,3,5000,四年,,(师范),src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1003,001,01,工商管理,不限,2,4400,四年,,(明德书院校区)),src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1003,002,03,英语,不限,2,4400,四年,,(高考英语单科成绩达到90分及以上)),src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1003,003,02,国际经济与贸易,不限,2,4400,四年,,(明德书院校区)),src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1004,001,01,汉语言文学,不限,3,4400,四年,,(师范),src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1004,001,02,英语,不限,2,4400,四年,,(师范),src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1004,002,03,思想政治教育,思想政治,2,4400,四年,,(师范),src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1007,001,02,网络与新媒体,不限,2,4800,四年,,,src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1007,001,03,历史学,不限,4,4800,四年,,(师范),src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1007,001,04,英语,不限,1,4800,四年,,(师范),src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1007,001,05,日语,不限,2,4800,四年,,,src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1007,001,06,会计学,不限,1,5200,四年,,,src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1007,002,07,学前教育,不限,6,4800,四年,,(师范),src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1007,002,08,小学教育,不限,1,4800,四年,,(师范),src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1007,002,09,健康服务与管理,不限,2,5200,四年,,,src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1007,002,10,养老服务管理,不限,1,5200,四年,,,src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1007,003,01,思想政治教育,思想政治,1,4800,四年,,(师范),src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1010,001,01,法学,不限,2,4800,四年,,,src_collected_ah_2024_enrollment_plan
2024,AH,ordinary_undergraduate,history,1010,001,02,汉语言文学,不限,3,5060,四年,,(师范),src_collected_ah_2024_enrollment_plan
