major_code,major_name,major_category,degree_category,duration,notes,source_id
01,财务管理,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
04,电子商务,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
02,国际经济与贸易,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
03,审计学,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
07,审计学,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
02,大数据管理与应用,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
01,金融工程,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
12,宝石及材料工艺学,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
09,护理学,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
05,计算机科学与技术,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
10,康复治疗学,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
13,口腔医学技术,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
03,数据科学与大数据技术,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
06,数字媒体技术,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
08,药学,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
11,制药工程,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
04,中药学,,本科,四年,来自陕西国际商贸学院2025在皖招生计划样例，省编专业代号非国标专业代码,src_csiic_2025_anhui_plan_sample
