year,province_code,subject_track,score,count,cumulative_count,rank_min,rank_max,source_id
2023,AH,history,200,128,149688,149561,149688,src_collected_ah_2023_score_segments
2023,AH,history,201,102,149560,149459,149560,src_collected_ah_2023_score_segments
2023,AH,history,202,111,149458,149348,149458,src_collected_ah_2023_score_segments
2023,AH,history,203,110,149347,149238,149347,src_collected_ah_2023_score_segments
2023,AH,history,204,103,149237,149135,149237,src_collected_ah_2023_score_segments
2023,AH,history,205,135,149134,149000,149134,src_collected_ah_2023_score_segments
2023,AH,history,206,118,148999,148882,148999,src_collected_ah_2023_score_segments
2023,AH,history,207,121,148881,148761,148881,src_collected_ah_2023_score_segments
2023,AH,history,208,113,148760,148648,148760,src_collected_ah_2023_score_segments
2023,AH,history,209,125,148647,148523,148647,src_collected_ah_2023_score_segments
2023,AH,history,210,130,148522,148393,148522,src_collected_ah_2023_score_segments
2023,AH,history,211,115,148392,148278,148392,src_collected_ah_2023_score_segments
2023,AH,history,212,115,148277,148163,148277,src_collected_ah_2023_score_segments
2023,AH,history,213,144,148162,148019,148162,src_collected_ah_2023_score_segments
2023,AH,history,214,130,148018,147889,148018,src_collected_ah_2023_score_segments
2023,AH,history,215,140,147888,147749,147888,src_collected_ah_2023_score_segments
2023,AH,history,216,128,147748,147621,147748,src_collected_ah_2023_score_segments
2023,AH,history,217,141,147620,147480,147620,src_collected_ah_2023_score_segments
2023,AH,history,218,159,147479,147321,147479,src_collected_ah_2023_score_segments
2023,AH,history,219,175,147320,147146,147320,src_collected_ah_2023_score_segments
2023,AH,history,220,156,147145,146990,147145,src_collected_ah_2023_score_segments
2023,AH,history,221,159,146989,146831,146989,src_collected_ah_2023_score_segments
2023,AH,history,222,161,146830,146670,146830,src_collected_ah_2023_score_segments
2023,AH,history,223,160,146669,146510,146669,src_collected_ah_2023_score_segments
2023,AH,history,224,148,146509,146362,146509,src_collected_ah_2023_score_segments
2023,AH,history,225,167,146361,146195,146361,src_collected_ah_2023_score_segments
2023,AH,history,226,197,146194,145998,146194,src_collected_ah_2023_score_segments
2023,AH,history,227,170,145997,145828,145997,src_collected_ah_2023_score_segments
2023,AH,history,228,175,145827,145653,145827,src_collected_ah_2023_score_segments
2023,AH,history,229,165,145652,145488,145652,src_collected_ah_2023_score_segments
2023,AH,history,230,153,145487,145335,145487,src_collected_ah_2023_score_segments
2023,AH,history,231,188,145334,145147,145334,src_collected_ah_2023_score_segments
2023,AH,history,232,181,145146,144966,145146,src_collected_ah_2023_score_segments
2023,AH,history,233,206,144965,144760,144965,src_collected_ah_2023_score_segments
2023,AH,history,234,209,144759,144551,144759,src_collected_ah_2023_score_segments
2023,AH,history,235,175,144550,144376,144550,src_collected_ah_2023_score_segments
2023,AH,history,236,204,144375,144172,144375,src_collected_ah_2023_score_segments
2023,AH,history,237,219,144171,143953,144171,src_collected_ah_2023_score_segments
2023,AH,history,238,226,143952,143727,143952,src_collected_ah_2023_score_segments
2023,AH,history,239,197,143726,143530,143726,src_collected_ah_2023_score_segments
2023,AH,history,240,211,143529,143319,143529,src_collected_ah_2023_score_segments
2023,AH,history,241,220,143318,143099,143318,src_collected_ah_2023_score_segments
2023,AH,history,242,203,143098,142896,143098,src_collected_ah_2023_score_segments
2023,AH,history,243,199,142895,142697,142895,src_collected_ah_2023_score_segments
2023,AH,history,244,228,142696,142469,142696,src_collected_ah_2023_score_segments
2023,AH,history,245,206,142468,142263,142468,src_collected_ah_2023_score_segments
2023,AH,history,246,215,142262,142048,142262,src_collected_ah_2023_score_segments
2023,AH,history,247,221,142047,141827,142047,src_collected_ah_2023_score_segments
2023,AH,history,248,236,141826,141591,141826,src_collected_ah_2023_score_segments
2023,AH,history,249,237,141590,141354,141590,src_collected_ah_2023_score_segments
2023,AH,history,250,194,141353,141160,141353,src_collected_ah_2023_score_segments
2023,AH,history,251,247,141159,140913,141159,src_collected_ah_2023_score_segments
2023,AH,history,252,210,140912,140703,140912,src_collected_ah_2023_score_segments
2023,AH,history,253,220,140702,140483,140702,src_collected_ah_2023_score_segments
2023,AH,history,254,229,140482,140254,140482,src_collected_ah_2023_score_segments
2023,AH,history,255,211,140253,140043,140253,src_collected_ah_2023_score_segments
2023,AH,history,256,249,140042,139794,140042,src_collected_ah_2023_score_segments
2023,AH,history,257,216,139793,139578,139793,src_collected_ah_2023_score_segments
2023,AH,history,258,260,139577,139318,139577,src_collected_ah_2023_score_segments
2023,AH,history,259,257,139317,139061,139317,src_collected_ah_2023_score_segments
