source_id,title,source_url,publisher,published_at,fetched_at,file_hash,parser_version,review_status,notes
src_ah_exam,安徽省教育招生考试院,https://www.ahzsks.cn/,安徽省教育招生考试院,,2026-06-24,,,planned,考试院入口，政策表外键保留
src_ah_service,安徽省普通高校招生考生服务平台,https://xgk.ahzsks.cn/,安徽省教育招生考试院,,2026-06-24,,,planned,志愿填报服务平台入口
src_chsi,阳光高考平台,https://gaokao.chsi.com.cn/,教育部阳光高考,,2026-06-24,,,planned,招生计划和章程参考入口
src_collected_ah_2023_score_segments,安徽2023一分一段表（理科/文科）,local:D:\education\data\安徽高考招生录取分数-2017-2024年\安徽_一分一段_2017-2024\安徽_一分一段_2023.xlsx,用户收集数据,,2026-06-24,0b627c75382cd4f5ad9f9066a00dc5d85c7984dd42588b88e4103310ddf39bf8,collected_anhui_excel_v2,collected,改革前文理科；理科映射为物理类，文科映射为历史类
src_collected_ah_2024_score_segments,安徽2024一分一段表（物理/历史）,local:D:\education\data\安徽高考招生录取分数-2017-2024年\安徽_一分一段_2017-2024\安徽_一分一段_2024_物理组.xlsx,用户收集数据,,2026-06-24,3d6338da9d2b1880e7c460ec9c0647ed13f53371edeb1ddbf67ef39895358b99,collected_anhui_excel_v2,collected,同目录历史组文件一并解析
src_collected_ah_2025_score_segments,安徽2025一分一段表（物理/历史）,local:D:\education\data\安徽高考招生录取分数-2025一分一段\安徽2025一分一段表（物理）.xlsx,用户收集数据,,2026-06-24,36a132471aa8b332200d0a90e757f433e2269d0a8f71db0b3630e857f74c4dfe,collected_anhui_excel_v2,collected,同目录历史组文件一并解析
src_collected_ah_2024_enrollment_plan,安徽2024普通本科批招生计划,local:D:\education\data\安徽高考招生录取分数-2017-2024年\安徽_招生计划_2017-2024\安徽_招生计划_2024.xlsx,用户收集数据,,2026-06-24,6d9ea91ba439e5d7a83154876e2e081445ea04c767027b515ebb08eadfcc3ea9,collected_anhui_excel_v2,collected,
src_collected_ah_2025_enrollment_plan,安徽2025普通本科批招生计划,local:D:\education\data\安徽高考招生录取分数-2025招生计划\安徽-2025-招生计划.xlsx,用户收集数据,,2026-06-24,9e3526b765befe766910805fbba554575a5ce8a4dc0e036d395a5942c49beaff,collected_anhui_excel_v2,collected,
src_collected_ah_2026_enrollment_plan,安徽2026普通本科批招生计划,local:D:\education\data\新安徽-2026-招生计划【总43649】.xlsx,用户收集数据,,2026-06-24,55d26eb613b0a6fdd76d8f10e70d1a5d10dbf8138ca8aed4903efea83bbdf630,collected_anhui_excel_v2,collected,仅接入普通本科批；提前批和高职专科批暂不进入第一版推荐口径
src_collected_ah_2023_legacy_admission,安徽2023普通本科批旧文理科院校投档线,local:D:\education\data\安徽高考招生录取分数-2017-2024年\安徽_投档线_2017-2024\安徽_投档线_2023.xlsx,用户收集数据,,2026-06-24,a36aa04e85a7bb4258955001481a6361c06cb04adaab69f758cfdb63743400f4,collected_anhui_excel_v2,collected,改革前文理科院校级口径；本科一批/二批合并作普通本科参考
src_collected_ah_2024_group_admission,安徽2024普通本科批专业组投档线,local:D:\education\data\安徽高考招生录取分数-2017-2024年\安徽_投档线_2017-2024\安徽_投档线_2024.xlsx,用户收集数据,,2026-06-24,7990af04dfb3bfd40296f9effe69a2f214e92b2ea31ecea75325187ac0e97df9,collected_anhui_excel_v2,collected,
src_collected_ah_2025_group_admission,安徽2025普通本科批专业组投档线,local:D:\education\data\安徽高考招生录取分数-2025投档线\安徽25年专业组投档线最新.xlsx,用户收集数据,,2026-06-24,a1a0eced095615a1b0ad72db8f6b774d88ed017275946506aa728d9b5d904b04,collected_anhui_excel_v2,collected,
